fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231011 063316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1120	TRUE	880007	0.113117944859104	0.998887649891172	5686	1021	15000	639338000	70
20231011 071801	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2106	TRUE	880007	0.0996130079846686	0.20028079379678	6164	50	14999	647451000	71
20231011 080241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1310	TRUE	880007	0.239101495596826	0.456467601322883	3354	122	14999	695709000	72
20231011 081545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	412	TRUE	880007	0.297904201915052	0.429415524119581	7986	17	15000	543550000	73
20231011 093031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2205	TRUE	880007	0.0541380926478439	0.614790557691978	696	434	14999	736890000	74
20231011 093816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	633	TRUE	880007	0.289037032808097	0.769175901352428	1395	17	12419	504413000	75
20231011 121229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4827	TRUE	880007	0.0237419452554349	0.760814310010874	1067	1024	11918	653156000	76
20231011 130734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2488	TRUE	880007	0.0691084704659419	0.200719558567948	4096	1023	11990	609819000	77
20231011 133746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1230	TRUE	880007	0.161587285333643	0.200443525479048	1658	464	15000	720524000	78
20231011 162557	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5019	TRUE	880007	0.0219130630142554	0.771893647230765	668	506	14693	727244000	79
20231011 181140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4528	TRUE	880007	0.0265690208267866	0.994498970488086	3231	1024	13312	645848000	80
20231011 190014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1724	TRUE	880007	0.0739527328860253	0.232135412581813	682	1021	14016	716478000	81
