fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231124 115722	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1974	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0378429211205075	0.273120241040413	425	17578	10888	156985939.030485	24
20231124 122524	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	361	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.11806817487427	0.48394300714881	1024	17413	8935	152994550.224888	25
20231124 130639	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	962	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0420209268868418	0.308815635937837	859	14063	11396	157214066.966517	26
20231124 133222	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.242874330902756	0.461072972100037	328	11444	11475	144802276.361819	27
20231124 135716	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	611	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.148595678309412	0.988600282004489	276	12873	11007	150470520.23988	28
20231124 144701	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	870	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.110291002833313	0.544872544053786	955	11801	11444	152493079.46027	29
20231124 151851	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	840	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.125694221294727	0.217397319795993	756	6375	9858	149296048.975512	30
20231124 155342	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	897	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.247602922216991	0.265741266930984	452	12469	10826	142105436.281859	31
20231124 160514	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.272347867480059	0.877266752151466	509	19769	12904	152798056.971514	32
20231124 163118	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	388	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.267239549713783	0.342015851778001	544	5423	12911	143026858.070965	33
20231124 170824	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	711	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0490928145774047	0.766822725375725	625	3451	12018	156941686.156922	34
20231124 175959	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	871	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0450382332726847	0.539699633590394	484	12858	10465	156658443.278361	35
20231124 182839	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	709	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0401471805129031	0.735596844443897	626	15057	11350	159336966.516742	36
20231124 185803	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0401859664885235	0.687095668196619	573	7611	12299	157662462.268866	37
20231124 194041	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1380	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0412101013815771	0.940023830140177	362	16291	14106	153826815.592204	38
20231124 201655	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	562	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0386803035237104	0.5941764085166	745	14359	12079	159640023.488256	39
20231124 210148	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	737	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0394876572767982	0.582320205915023	733	19951	13804	158431010.494753	40
20231124 213537	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	925	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0397877442820577	0.800715747506776	938	13298	10870	155277316.341829	41
20231124 225020	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1764	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0395285132199409	0.409465443772698	640	14140	11690	152079845.077461	42
20231124 232320	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	952	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0458351790513871	0.645199648794364	684	15387	9796	156316835.582209	43
20231125 000455	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1254	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0318294171407913	0.747798072214924	760	15585	12491	155400521.23938	44
20231125 002520	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	171	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.173309877706849	0.424234192399965	398	12582	10916	153763952.023988	45
20231125 010228	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1110	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0382038023645546	0.642689023493246	486	16061	10758	156677008.495752	46
20231125 013421	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	835	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0451824314379682	0.740214501688051	431	12119	10468	153711786.106947	47
20231125 023452	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1091	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0399036063281239	0.555933805688292	821	14812	10394	158321480.25987	48
20231125 030430	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	753	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0428638952484877	0.815616850614712	605	12751	12042	158061182.408796	49
20231125 033846	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	437	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0417249929366275	0.592519971964672	758	8015	13177	160719660.669665	50
20231125 042307	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	560	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0427747523736575	0.587796979102602	742	1607	12809	157523266.866567	51
20231125 050712	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1097	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0415092375392198	0.610231033946621	748	11227	11938	154754579.710145	52
20231125 053032	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	211	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0690884705739473	0.508824792898529	65	16278	12708	161181111.444278	53
20231125 055524	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	592	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0411683173912685	0.709974829989885	660	16791	12315	160461846.576712	54
20231125 071130	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1266	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0332595504867694	0.578915119863708	801	8527	12329	155192452.273863	55
20231125 073251	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	166	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.133346509520149	0.445703295644719	311	9652	11929	155152152.423788	56
20231125 075120	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	230	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.241700949909612	0.719762999748323	404	3349	12417	132016092.453773	57
20231125 083408	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	739	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0644290644367564	0.47378729108466	144	16025	13572	155416189.905047	58
20231125 085517	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1192	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0722559271213932	0.630597006671149	20	16621	12729	158737859.570215	59
20231125 092225	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	669	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0390448989713119	0.912672034189283	688	16999	10635	158679557.721139	60
20231125 094850	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	480	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.070424356393329	0.355313741057586	47	13847	12202	157326689.655172	61
20231125 102612	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	462	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0407853790686576	0.466475843971976	779	6115	12041	161310221.389305	62
20231125 110603	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	684	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.06848387577386	0.52877969423998	62	19933	10185	159426119.44028	63
20231125 115450	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	706	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0433892896808954	0.552050139148939	846	5937	10524	157015058.470765	64
20231125 121936	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	606	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.0428346889658408	0.830453245003781	585	18408	10109	159869683.658171	65
20231125 123611	914	2686920	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	1	FALSE	1	0.1	50	0.5	TRUE	880031	0.068745210840403	0.7472106922049	74	15937	11273	157959764.617691              66
